"Full_Path","Filename","Size_Bytes","Date_Modified","Time_Modified","Is_Directory" 
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.idx","pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.idx",1884,04/06/2025,08:41:01,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.pack","pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.pack",87495,05/06/2025,16:43:20,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.rev","pack-461c203ccc7d8bcb6a3f4a9c2b964ebd41e9e94f.rev",168,04/06/2025,08:41:01,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.idx","pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.idx",11348,07/06/2025,19:51:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.pack","pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.pack",101206,07/06/2025,19:51:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.rev","pack-67b30dd15e0b7c8db5ea2e9356846ba30d0b927b.rev",1520,07/06/2025,19:51:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-bc9290e904be366b7478ab25f87017200bea7896.idx","pack-bc9290e904be366b7478ab25f87017200bea7896.idx",4544,08/06/2025,09:24:09,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-bc9290e904be366b7478ab25f87017200bea7896.pack","pack-bc9290e904be366b7478ab25f87017200bea7896.pack",62186,08/06/2025,09:24:09,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\objects\pack\pack-bc9290e904be366b7478ab25f87017200bea7896.rev","pack-bc9290e904be366b7478ab25f87017200bea7896.rev",548,08/06/2025,09:24:09,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\add-.gitignore-for-python-artifacts","add-.gitignore-for-python-artifacts",41,04/06/2025,17:41:11,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\add-module-docstring-to-code_render.py","add-module-docstring-to-code_render.py",41,05/06/2025,14:51:38,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\add-quickstart-and-expand-readme-for-v1.0-launch","add-quickstart-and-expand-readme-for-v1.0-launch",41,08/06/2025,18:56:10,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\consolidate-maths.py-files-into-phase_math.py","consolidate-maths.py-files-into-phase_math.py",41,04/06/2025,12:13:52,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\create-empty-__init__.py-files-and-verify-install","create-empty-__init__.py-files-and-verify-install",41,05/06/2025,19:08:45,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\create-pyproject.toml-and-configure-dependencies","create-pyproject.toml-and-configure-dependencies",41,04/06/2025,18:13:56,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\create-requirements.txt-and-update-readme","create-requirements.txt-and-update-readme",41,05/06/2025,08:11:59,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\create-test-for-madmonkey.try_vector","create-test-for-madmonkey.try_vector",41,05/06/2025,14:51:38,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\launch-madmonkey.reactor_test-with-shock_response_layer","launch-madmonkey.reactor_test-with-shock_response_layer",41,08/06/2025,00:04:25,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\locate--.md-files-in-legacy-folder","locate--.md-files-in-legacy-folder",41,07/06/2025,00:01:10,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\mock-requests.get-in-tests","mock-requests.get-in-tests",41,05/06/2025,19:08:45,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\modify-__init__.py-to-import-symbolicoptimizer-and-analyze_a","modify-__init__.py-to-import-symbolicoptimizer-and-analyze_a",41,05/06/2025,14:51:38,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\remove-data.py-and-update-imports","remove-data.py-and-update-imports",41,04/06/2025,18:13:56,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\update-mesh_pipeline_demo.py-to-use-importlib.resources","update-mesh_pipeline_demo.py-to-use-importlib.resources",41,05/06/2025,14:51:38,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\update-pyproject.toml-and-add-cli","update-pyproject.toml-and-add-cli",41,05/06/2025,07:40:55,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\remotes\origin\codex\update-readme.md-for-license-consistency","update-readme.md-for-license-consistency",41,07/06/2025,00:01:10,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\tags\0.9","0.9",41,08/06/2025,02:31:38,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.git\refs\tags\0.91","0.91",41,08/06/2025,03:03:18,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\AGENTS.md","AGENTS.md",2644,08/06/2025,12:01:05,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\FUNDING.yml","FUNDING.yml",68,09/06/2025,06:20:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\workflows\branch-hygiene.yml","branch-hygiene.yml",510,09/06/2025,06:20:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\workflows\cleanup-merged-branches.yml","cleanup-merged-branches.yml",1350,09/06/2025,06:20:04,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\workflows\publish.yml","publish.yml",641,08/06/2025,12:01:05,FALSE
"C:\Users\Samuel Howells\Google Drive\GitHub TriStar\Brian\.github\workflows\pytest.yml","pytest.yml",336,07/06/2025,19:51:12,FALSE
